
Thunder Bay (63203) 
Hourly Fine Particulate Matter [PM2.5] Concentrations 
From,January 1 2017  
To,December 31 2017 EST 
Station,Thunder Bay (63203)
Address,421 James St. S.
Latitude,48.379389
Longitude,-89.290167
Air Intake Height,15 metres 
Elevation,192 metres 
Pollutant,Fine Particulate Matter [PM2.5]
Method,SHARP 5030 operated 35% RH
Unit, micrograms per cubic metre (micrograms/m3)
Remarks, -999 for missing data. 9999 for invalid data.
Station ID,Pollutant,Date,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
63203,Fine Particulate Matter,2017-06-17,11,7,8,22,6,6,7,11,8,6,4,3,5,5,7,7,6,9,8,8,9,9999,9999,8,
63203,Fine Particulate Matter,2017-06-18,8,7,7,7,9,16,28,19,19,13,10,6,4,2,2,2,2,2,2,1,1,0,0,2,
63203,Fine Particulate Matter,2017-06-19,1,1,1,1,1,1,1,1,1,1,1,1,1,7,8,4,2,3,1,2,1,0,0,0,
63203,Fine Particulate Matter,2017-06-20,1,0,0,0,0,1,3,1,1,1,0,7,6,17,2,2,1,1,1,1,1,1,2,2,
63203,Fine Particulate Matter,2017-06-21,3,2,2,2,2,2,3,3,3,3,4,3,2,2,2,2,2,2,2,2,7,8,5,3,
63203,Fine Particulate Matter,2017-06-22,2,2,2,2,2,2,2,2,7,9,5,4,5,3,4,3,3,3,4,2,2,5,3,4,
63203,Fine Particulate Matter,2017-06-23,2,2,2,3,5,3,4,3,2,2,2,2,1,1,1,2,2,2,2,1,2,2,2,2,
63203,Fine Particulate Matter,2017-06-24,2,2,2,2,1,1,1,2,2,2,2,2,1,1,1,1,1,1,2,2,2,4,4,6,
63203,Fine Particulate Matter,2017-06-25,4,3,2,2,2,3,3,3,2,2,2,3,3,3,4,4,3,2,2,2,2,2,1,1,
63203,Fine Particulate Matter,2017-06-26,2,4,1,1,2,2,3,3,3,4,3,3,4,4,4,3,3,3,3,3,2,3,4,7,
63203,Fine Particulate Matter,2017-06-27,8,8,8,8,8,8,8,7,5,5,4,4,4,4,4,3,4,5,4,4,4,5,6,8,
63203,Fine Particulate Matter,2017-06-28,7,8,8,8,8,8,7,6,6,8,5,5,5,6,5,4,5,6,6,6,5,5,5,6,
63203,Fine Particulate Matter,2017-06-29,8,4,2,2,1,1,1,1,1,1,1,2,2,2,1,1,2,2,2,2,2,2,2,4,
63203,Fine Particulate Matter,2017-06-30,3,2,3,2,3,2,2,2,2,1,3,4,4,4,4,5,4,4,3,3,3,4,7,10,
